업종그룹,순위,종목코드,종목명,현재가,대비구분,대비가,대비율,조회수치,조회비중
172,319,USAGDDY,고대디,210,2,10.83,5.44,27724,0.05
31,320,USASW,스머핏 웨스트락,53.1,3,0,0,27531,0.05
242,321,USAGPN,글로벌 페이먼츠,107.6082,5,-1.4118,-1.29,27510,0.05
280,322,USAERIC,텔레폰악티에볼라예트 에릭슨 ADR,8.5684,2,0.0284,0.33,27392,0.05
229,323,USAGOLD,바릭골드,15.95,2,0.11,0.69,27234,0.05
5,324,USACVE,세노버스 에너지,15.19,2,0.07,0.46,27214,0.05
259,325,USAWBD,워너 브로스 디스커버리,9.83,2,0.04,0.41,27148,0.05
14,326,USAPPG,PPG 인더스트리스,117.08,5,-0.49,-0.42,27034,0.05
236,327,USAFTV,포티브,78.37,2,0.49,0.63,26836,0.05
286,328,USAMTD,메틀러 톨레도 인터내셔널,1279.73,3,0,0,26829,0.05
242,329,USABR,브로드리지 파이낸셜 솔루션스,228.09,3,0,0,26547,0.05
144,330,USAEQR,에퀴티 레지덴셜,69.46,3,0,0,26524,0.05
117,331,USAEL,에스티 로더,74.23,5,-0.29,-0.39,26517,0.05
236,332,USADOV,도버,190.25,5,-0.49,-0.26,25901,0.05
117,333,USACHD,처치 & 드와이트,103.44,3,0,0,25793,0.05
127,334,USASYF,싱크로니 파이낸셜,68.8,2,0.69,1.01,25720,0.05
242,335,USAVLTO,베랄토,101.19,5,-1.36,-1.33,25316,0.05
242,336,USACPAY,콜페이,362.23,3,0,0,24985,0.05
197,337,USANVR,NVR,8310.41,2,51.33,0.62,24951,0.05
263,338,USATROW,티 로웨 프라이스 그룹,114.7233,2,1.4033,1.24,24906,0.05
300,339,USACDW,CDW,187.5,2,0.04,0.02,24861,0.05
9,340,USAHAL,할리버튼,29.05,2,0.14,0.48,24773,0.05
182,341,USADTE,DTE 에너지,120.61,3,0,0,24734,0.05
112,342,USAADM,아처 대니얼스 미들랜드,51.33,2,0.19,0.37,24496,0.05
14,343,USALYB,라이온델바젤 인더스트리스,76.86,2,0.78,1.03,24457,0.05
5,344,USADVN,데번 에너지,38.4,5,-0.03,-0.08,24423,0.05
172,345,USATYL,타일러 테크놀로지스,571.7,5,-0.18,-0.03,24406,0.05
144,346,USAVTR,벤타스,58.05,3,0,0,24373,0.04
127,347,USAHBAN,헌팅턴 뱅크셰어스,17.0609,2,0.0209,0.12,24102,0.04
150,348,USAWAT,워터스,397.2,5,-0.5,-0.13,24043,0.04
186,349,USAAWK,아메리칸 워터 웍스,125.01,2,1.48,1.2,23878,0.04
188,350,USAAEE,애머런,90.22,5,-0.9,-0.99,23863,0.04
150,351,USAWST,웨스트 파마슈티컬 서비시즈,328.1,5,-0.91,-0.28,23824,0.04
282,352,USANTAP,넷앱,120,2,0.64,0.54,23723,0.04
188,353,USAPPL,PPL,32.11,3,0,0,23600,0.04
87,354,USAEXPE,익스피디아그룹,187,2,0.48,0.26,23511,0.04
163,355,USAON,온 세미콘덕터,55.41,2,0.18,0.33,23495,0.04
197,356,USAPHM,풀티 그룹,116.76,2,0.79,0.68,23071,0.04
236,357,USAHUBB,허벨,428.93,3,0,0,22982,0.04
242,358,USAROL,롤린스,47,5,-0.01,-0.02,22689,0.04
182,359,USAEIX,에디슨 인터내셔널,61.5,2,0.2,0.33,22621,0.04
182,360,USAFE,퍼스트에너지,39.22,3,0,0,22574,0.04
236,361,USALII,레녹스 인터내셔널,629.43,5,-1.33,-0.21,22361,0.04
136,362,USAWRB,W. R. 버클리,59.94,3,0,0,22326,0.04
172,363,USAPTC,PTC,184,5,-1.37,-0.74,22325,0.04
259,364,USAFOXA,폭스 Class A,48.55,2,0.01,0.02,22297,0.04
184,365,USAATO,애트모스 에너지,141.08,3,0,0,21867,0.04
163,366,USATER,테라다인,134.98,2,0.05,0.04,21852,0.04
127,367,USARF,리전스 파이낸셜,25.3,2,0.6,2.43,21812,0.04
136,368,USACINF,신시내티 파이낸셜,141.24,3,0,0,21804,0.04
288,369,USATDY,텔레다인 테크놀로지스,468.98,3,0,0,21713,0.04
282,370,USAWDC,웨스턴 디지털,64.6392,2,0.0092,0.01,21689,0.04
112,371,USAIFF,인터내셔널 플레이버스 & 프레그런스,84.52,2,0.35,0.42,21392,0.04
87,372,USADRI,다든 레스토랑,180.06,5,-0.77,-0.43,21325,0.04
5,373,USACTRA,코테라 에너지,29.13,2,0.07,0.24,21253,0.04
144,374,USAWY,와이어하우저,29.59,2,0.03,0.1,21041,0.04
144,375,USASBAC,SBA 커뮤니케이션스,196.65,5,-0.58,-0.29,20969,0.04
136,376,USAERIE,이리 인뎀니티,400.18,3,0,0,20904,0.04
